id_alimento_anmat,nombre,denominacion,marca,categoria,kcal_100g,unidad,proteinas_100g,grasas_100g,carbs_100g
31834,Ñoquis,Pastas frescas: ñoquis,Alfonsina,Pastas frescas sin relleno,165.0,g,1.9,1.6,33.0
31835,Maiz pisado blanco,,Fabiola,Cereales,352.0,g,7.0,2.0,78.0
31836,Fecula de mandioca,,Ranchito,Harinas / sémolas / almidones,340.0,g,0.0,0.0,85.0
31837,Fecula de mandioca,,Ag,Harinas / sémolas / almidones,340.0,g,0.0,0.0,85.0
31838,Fariña de mandioca,,Aldema,Harinas / sémolas / almidones,362.86,g,0.86,0.0,88.57
31839,Fecula de mandioca,,Aldema,Harinas / sémolas / almidones,355.0,g,1.0,0.0,88.0
31840,Alfajor relleno de dulce de leche y frutos rojos con chocolate blanco,"Alfajor relleno de dulce de leche y mermelada de arándanos, mora, frambuesa y frutilla cubierto con chocolate blanco",Mamusia,Galletitas y bizcochos,422.5,g,8.75,15.0,62.5
31841,Medialunas crudas congeladas,,Cerro negro,Galletitas y bizcochos,337.78,g,4.44,15.56,42.22
31842,Pan blanco,"Pan a base de harina de arroz, fécula de mandioca, almidón de maíz y fécula de papa",Moramor,Pan y productos de panadería,323.33,g,5.67,7.5,58.33
31843,Quinotto con curry,"Mezcla de quinoa, vegetales deshidratados y hongos saborizada con curry",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31844,Quinotto con ají molido,"Mezcla de quinoa, vegetales deshidratados y hongos saborizada con ají molido",Patagonia cocina,Productos a base de cereales,81.0,g,2.75,1.0,15.5
31845,Quinotto con cebolla,"Mezcla de quinoa, vegetales deshidratados y hongos saborizada con cebolla",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31846,Quinotto con ajo,"Mezcla de quinoa, vegetales deshidratados y hongos saborizada con ajo",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31847,Quinotto albahaca,"Mezcla de quinoa, vegetales deshidratados y hongos saborizada con albahaca",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31848,Medialuna,,Moramor,Galletitas y bizcochos,369.33,g,4.13,24.0,34.67
31849,Pre pizza,Masa precocida para pizza,Moramor,Pan y productos de panadería,332.5,g,4.0,7.75,60.0
31850,Arroz yamaní,Arroz integral,Convidame,Cereales,358.0,g,7.6,2.6,76.0
31851,Avena tradicional,Avena arrollada,Convidame,Cereales,406.67,g,12.67,7.67,68.67
31852,Avena instantánea,Avena arrollada instantánea,Convidame,Cereales,406.67,g,12.67,7.67,68.67
31853,Harina integral de trigo,,Convidame,Harinas / sémolas / almidones,346.0,g,14.0,2.0,68.0
31854,Pan mix de harinas,"Pan a base de harina de arroz, fécula de mandioca, almidón de maíz y fécula de papa",Moramor,Pan y productos de panadería,323.33,g,5.67,7.5,58.33
31855,Risotto con albahaca,"Mezcla de arroz yamaní, vegetales deshidratados y hongos saborizada con albahaca",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31856,Pasta frola,Tarta dulce con mermelada de membrillo,Moramor,Galletitas y bizcochos,342.86,g,3.14,9.29,60.71
31857,Budin de vainilla,,Moramor,Galletitas y bizcochos,366.67,g,4.83,18.33,46.67
31858,Alfajor de maicena,Alfajor relleno de dulce de leche,Moramor,Galletitas y bizcochos,358.67,g,4.67,12.27,57.33
31859,Risotto con curry,"Mezcla de arroz yamaní, vegetales deshidratados y hongos saborizada con curry",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31860,Risotto con cebolla,"Mezcla de arroz yamaní, vegetales deshidratados y hongos saborizada con cebolla",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31861,Risotto con ajo,"Mezcla de arroz yamaní, vegetales deshidratados y hongos saborizada con ajo",Patagonia cocina,Productos a base de cereales,162.0,g,5.5,2.0,31.0
31862,Brownie,Bizcocho dulce de chocolate semiamargo con nuez,Moramor,Galletitas y bizcochos,422.5,g,6.88,23.75,47.5
31863,Pan de arroz,"Pan a base de harina de arroz, fécula de mandioca, harina de garbanzo y lino molido",Convidame,Pan y productos de panadería,236.67,g,4.33,8.0,36.67
31864,Dulce de leche,Alfajor relleno de dulce de leche con baño de repostería semiamargo,Amanita,Galletitas y bizcochos,444.44,g,6.67,20.0,60.0
31865,Dulce de leche corazón de frambuesa,Alfajor relleno con dulce de leche y mermelada de frambuesa con baño de repostería semiamargo,Amanita,Galletitas y bizcochos,442.22,g,6.67,20.0,60.0
31866,Pan de molde/ pan de hamburguesa,"Pan a base de almidón de maíz, fécula de mandioca, harina de arroz, trigo sarraceno y sorgo con semillas",Celi deli,Pan y productos de panadería,195.0,g,2.0,3.0,39.0
31867,Alfajor relleno de dulce de leche con baño de repostería fantasía blanco,,Amor & sabor,Galletitas y bizcochos,395.0,g,6.0,15.0,57.5
31868,Alfajor relleno de dulce de leche con baño de repostería semiamargo,,Amor & sabor,Galletitas y bizcochos,390.0,g,5.5,14.25,60.0
